Region,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Baden-Württemberg State,19253 (5119 -- 84618),Stable,0.98 (0.7 -- 1.2),-0.0056 (-0.086 -- 0.064),-120 (11 -- -8.1)
Berlin State,20948 (5184 -- 152029),Likely increasing,1.1 (0.84 -- 1.5),0.024 (-0.046 -- 0.12),29 (5.8 -- -15)
Brandenburg State,19923 (6451 -- 77164),Likely increasing,1.1 (0.93 -- 1.4),0.037 (-0.019 -- 0.093),19 (7.4 -- -37)
Dolnoslaskie,6371 (925 -- 56960),Likely decreasing,0.94 (0.64 -- 1.3),-0.018 (-0.1 -- 0.077),-39 (9 -- -6.6)
Free Hanseatic City of Bremen,281 (26 -- 1103),Likely decreasing,0.96 (0.55 -- 1.2),-0.012 (-0.13 -- 0.05),-58 (14 -- -5.2)
Free Hanseatic City of Hamburg,3735 (577 -- 11837),Likely increasing,1.1 (0.65 -- 1.3),0.019 (-0.11 -- 0.076),36 (9.2 -- -6.6)
Free State of Bavaria,32085 (9164 -- 108392),Stable,1 (0.74 -- 1.3),0.0033 (-0.074 -- 0.075),210 (9.3 -- -9.4)
Free State of Saxony,50337 (14769 -- 309656),Likely increasing,1.2 (0.87 -- 1.8),0.045 (-0.037 -- 0.21),15 (3.2 -- -19)
Free State of Thüringia,23054 (6838 -- 134519),Likely increasing,1.1 (0.87 -- 1.4),0.032 (-0.035 -- 0.094),22 (7.4 -- -20)
Germany,373766 (170028 -- 912022),Likely increasing,1.1 (0.92 -- 1.2),0.017 (-0.021 -- 0.066),40 (11 -- -32)
Hesse State,15536 (4072 -- 52913),Likely decreasing,0.97 (0.7 -- 1.1),-0.008 (-0.088 -- 0.034),-87 (20 -- -7.9)
Kujawsko-Pomorskie,11491 (2796 -- 70199),Stable,1 (0.79 -- 1.4),0.0062 (-0.059 -- 0.1),110 (6.7 -- -12)
Lodzkie,7014 (270 -- 100755),Stable,1 (0.29 -- 2.1),0.0011 (-0.23 -- 0.26),610 (2.7 -- -3)
Lower Saxony State,15853 (6112 -- 58767),Likely increasing,1.1 (0.93 -- 1.2),0.02 (-0.021 -- 0.064),35 (11 -- -33)
Lubelskie,7621 (1924 -- 44381),Stable,1 (0.76 -- 1.5),0.0022 (-0.07 -- 0.12),320 (5.8 -- -9.9)
Lubuskie,6561 (1084 -- 110177),Likely increasing,1.1 (0.81 -- 2.1),0.038 (-0.055 -- 0.27),18 (2.5 -- -13)
Malopolskie,15830 (1703 -- 230732),Likely increasing,1.2 (0.72 -- 2),0.046 (-0.081 -- 0.25),15 (2.8 -- -8.5)
Mazowieckie,33404 (6652 -- 229712),Stable,1 (0.81 -- 1.4),0.0031 (-0.054 -- 0.11),220 (6.4 -- -13)
Mecklenburg-Western Pomerania State,3430 (851 -- 12958),Likely increasing,1.1 (0.8 -- 1.4),0.034 (-0.058 -- 0.097),21 (7.2 -- -12)
North Rhine-Westphalia State,62367 (25348 -- 155269),Likely increasing,1.1 (0.92 -- 1.2),0.02 (-0.021 -- 0.054),35 (13 -- -33)
Opolskie,299 (21 -- 1372),Likely decreasing,0.81 (0.39 -- 1.1),-0.053 (-0.19 -- 0.036),-13 (19 -- -3.7)
Podkarpackie,4323 (755 -- 25937),Likely increasing,1.1 (0.63 -- 1.8),0.028 (-0.11 -- 0.19),25 (3.6 -- -6.5)
Podlaskie,1299 (185 -- 7690),Likely decreasing,0.94 (0.57 -- 1.3),-0.018 (-0.13 -- 0.073),-39 (9.5 -- -5.5)
Poland,128236 (33926 -- 491675),Likely increasing,1.1 (0.77 -- 1.5),0.029 (-0.064 -- 0.13),24 (5.1 -- -11)
Pomorskie,4145 (194 -- 23602),Stable,0.96 (0.33 -- 1.4),-0.01 (-0.21 -- 0.11),-70 (6.5 -- -3.3)
Rhineland-Palatinate State,10298 (2918 -- 40356),Likely increasing,1.1 (0.75 -- 1.5),0.014 (-0.072 -- 0.12),48 (5.7 -- -9.7)
Saarland State,3579 (657 -- 16016),Likely increasing,1.1 (0.73 -- 1.3),0.024 (-0.079 -- 0.086),29 (8 -- -8.7)
Sachsen-Anhalt State,19635 (6171 -- 91576),Likely increasing,1.2 (0.94 -- 1.6),0.047 (-0.016 -- 0.15),15 (4.7 -- -43)
Schleswig-Holstein State,4254 (596 -- 20046),Likely increasing,1.1 (0.6 -- 1.5),0.02 (-0.12 -- 0.13),35 (5.4 -- -6)
Slaskie,6191 (1358 -- 29972),Stable,1 (0.7 -- 1.5),0.013 (-0.085 -- 0.14),52 (5 -- -8.1)
Swietokrzyskie,652 (153 -- 3104),Likely decreasing,0.92 (0.68 -- 1.3),-0.023 (-0.093 -- 0.082),-31 (8.4 -- -7.5)
Warminsko-Mazurskie,3828 (631 -- 34961),Stable,1 (0.62 -- 1.6),0.0027 (-0.11 -- 0.16),250 (4.2 -- -6.4)
Wielkopolskie,10800 (3146 -- 85609),Likely increasing,1.1 (0.85 -- 2),0.027 (-0.042 -- 0.26),26 (2.7 -- -17)
Zachodniopomorskie,8508 (2004 -- 72930),Likely increasing,1.1 (0.79 -- 1.9),0.029 (-0.06 -- 0.21),24 (3.2 -- -12)
